Neighbourhood,Fast Food Restaurant,Cluster Labels,Postalcode,Neighbourhood Latitude,Neighbourhood Longitude,Venue,fsq_id,Venue Latitude,Venue Longitude,Venue Category
 Parkdale Village,0.25,1,M6K,43.6368472,-79.4281914,Wings & Things,819acb9100134394e1f7448b,43.640895,-79.417169,American Restaurant
 Parkdale Village,0.25,1,M6K,43.6368472,-79.4281914,Momo Cafe,6249e04c8a25a836e0023475,43.640481,-79.43823,Fast Food Restaurant
 Parkdale Village,0.25,1,M6K,43.6368472,-79.4281914,We Cater to You,4be15896a7380f4704bd19b0,43.638543,-79.417868,Fast Food Restaurant
 Parkdale Village,0.25,1,M6K,43.6368472,-79.4281914,Hero Certified Burgers,4e6bb632b61cc3728e22e9bc,43.638294,-79.418202,Burger Joint
 Parkdale Village,0.25,1,M6K,43.6368472,-79.4281914,A&W Restaurant,5d3000979a169c0008f5cf3a,43.655282,-79.433871,American Restaurant
 Parkdale Village,0.25,1,M6K,43.6368472,-79.4281914,Subway,4b719ec8f964a52096512de3,43.638829,-79.427028,Deli
 Parkdale Village,0.25,1,M6K,43.6368472,-79.4281914,Wendy's,607e1c4f7150f31b1cc40dee,43.639523,-79.411341,Burger Joint
 Parkdale Village,0.25,1,M6K,43.6368472,-79.4281914,Domino's Pizza,4bba5d947421a59380b5c340,43.641769,-79.402072,Pizzeria
 Parkdale Village,0.25,1,M6K,43.6368472,-79.4281914,A&W Restaurant,58fb073e09e2835b7ff25f1e,43.640515,-79.437768,American Restaurant
Davisville,0.25,1,M4S,43.7043244,-79.3887901,Hollywood Gelato,4ad8ec59f964a5200b1621e3,43.706734,-79.375707,Ice Cream Parlor
 Parkdale Village,0.25,1,M6K,43.6368472,-79.4281914,Fat Bastard Burrito,50a6bfa9067dc58023a417f9,43.639743,-79.421425,Fast Food Restaurant
 Parkdale Village,0.25,1,M6K,43.6368472,-79.4281914,Mean Bao,5480b4ad498e73897b755aac,43.646767,-79.403571,Chinese Restaurant
 Parkdale Village,0.25,1,M6K,43.6368472,-79.4281914,Bobbie Sue's Mac + Cheese,56119f45498efc11cc6fbfdc,43.647901,-79.420393,Mac and Cheese Joint
 Port Union,0.333333333,1,M1C,43.7845351,-79.1604971,Pauls Breakfast and Burgers,4fb6e87be4b079584547a8c1,43.803827,-79.16971,Fast Food Restaurant
 Parkdale Village,0.25,1,M6K,43.6368472,-79.4281914,College Falafel,4b8a1959f964a520f15f32e3,43.654614,-79.423011,Diner
 Port Union,0.333333333,1,M1C,43.7845351,-79.1604971,Subway,4eb2cdd477c814d925d51717,43.79199,-79.13267,Deli
 Port Union,0.333333333,1,M1C,43.7845351,-79.1604971,Subway,29f6ed101fd14ac2697d3d8c,43.80028,-79.143464,Deli
 Railway Lands,0.3,1,M5V,43.6289467,-79.3944199,Chipotle Mexican Grill,59304fea4186863fd6a112bb,43.649606,-79.391542,Fast Food Restaurant
 Railway Lands,0.3,1,M5V,43.6289467,-79.3944199,Saffron Spice Kitchen,5209947a11d24085eb84660d,43.648465,-79.397204,Fast Food Restaurant
 Railway Lands,0.3,1,M5V,43.6289467,-79.3944199,What a Bagel,4f7dd9a6e4b09d309a47f7fe,43.647638,-79.39623,Bagel Shop
 Railway Lands,0.3,1,M5V,43.6289467,-79.3944199,iQ Food Co,50bd1248e4b0382138bdd292,43.647128,-79.379274,Fast Food Restaurant
 Railway Lands,0.3,1,M5V,43.6289467,-79.3944199,McCafé,5669c9fd498e28dcd049abbd,43.644585,-79.381066,Café
 Railway Lands,0.3,1,M5V,43.6289467,-79.3944199,The Burger's Priest,5578720f498ee3b165b1f32b,43.648562,-79.387543,Burger Joint
 Railway Lands,0.3,1,M5V,43.6289467,-79.3944199,A&W Restaurant,57be1ded498edab44ddf8725,43.646031,-79.389757,American Restaurant
 Railway Lands,0.3,1,M5V,43.6289467,-79.3944199,BeaverTails,55a19437498eeea53fa58b54,43.639663,-79.38005,Dessert Shop
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Hollywood Gelato,4ad8ec59f964a5200b1621e3,43.706734,-79.375707,Ice Cream Parlor
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Millwood Melt,4f491eb6e4b08df2fc587af0,43.70341,-79.36343,Fast Food Restaurant
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Patisserie la Cigogne,4b5727cef964a520942828e3,43.70657,-79.375634,Bakery
Leaside,0.25,1,M4G,43.7090604,-79.3634517,The Bagel House,4bc9d5543740b713e9515f65,43.704873,-79.375036,Bagel Shop
Leaside,0.25,1,M4G,43.7090604,-79.3634517,South St. Burger,4b4766bff964a520f43026e3,43.710489,-79.36184,Burger Joint
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Five Guys Burgers & Fries,50943f60498e4ddf6785eca4,43.705648,-79.361212,Burger Joint
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Panago Pizza Inc,4f21daaae4b063d4fdda6292,43.708159,-79.392456,Pizzeria
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Subway,4bdde09ee75c0f470cf8c503,43.710489,-79.36184,Deli
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Subway,4dbc5abda86e0e98a1e19aa3,43.71041,-79.362155,Deli
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Pizza Hut,4bd76b035cf276b0623e9b00,43.700661,-79.373477,Pizzeria
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Souvlaki Express,4b13f568f964a520f29a23e3,43.707583,-79.389556,Fast Food Restaurant
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Subway,4b7c1fd1f964a520557e2fe3,43.703698,-79.374194,Sandwich Spot
Leaside,0.25,1,M4G,43.7090604,-79.3634517,A&W Restaurant,5d30009ce299c90008a9820d,43.706172,-79.344633,American Restaurant
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Mucho Burrito Fresh Mexican Grill,505e36d3e4b00e0d6e496b29,43.706732,-79.361758,Fast Food Restaurant
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Tim Hortons,533df972498e2af75eab5ae5,43.70513,-79.350505,Restaurant
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Pizza Pizza,4ba7baddf964a520d8ad39e3,43.707146,-79.375444,Pizzeria
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Pizza Pizza,4bad3dd3f964a5201c3d3be3,43.705047,-79.349322,Pizzeria
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Sequel Event Catering,4c2a5142d1a10f475041f664,43.712479,-79.359956,Fast Food Restaurant
Leaside,0.25,1,M4G,43.7090604,-79.3634517,Tim Hortons,5dd8176307121000075ef966,43.695244,-79.342761,Restaurant
 Port Union,0.333333333,1,M1C,43.7845351,-79.1604971,Pita Land,4bbfb320920eb71335d0172c,43.771714,-79.185177,Fast Food Restaurant
 Railway Lands,0.3,1,M5V,43.6289467,-79.3944199,Mini Bar,4b03ff12f964a520cd5022e3,43.64709,-79.396049,Café
 Parkdale Village,0.25,1,M6K,43.6368472,-79.4281914,Sicilian Sidewalk Cafe,4b773d3ef964a520b78a2ee3,43.65533,-79.41859,Café
 Parkdale Village,0.25,1,M6K,43.6368472,-79.4281914,Loga's Corner,54838585498e1787e915457d,43.640421,-79.435976,Fast Food Restaurant
