Neighbourhood,Pest Control Service,Cluster Labels,Postalcode,Neighbourhood Latitude,Neighbourhood Longitude,Venue,fsq_id,Venue Latitude,Venue Longitude,Venue Category
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,Greenleaf Pest Control,545a9566498e607c73a235a0,43.649765,-79.376188,Pest Control Service
The Annex,0.7692307692307693,1,M5R,43.6727097,-79.4056784,Naylor Pest Control,0d2f25c63a054660ae2fd69d,43.666703,-79.405023,Pest Control Service
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,The Bed Bug Tracker,c2b0eedcbd974c4e7b1a4990,43.649759,-79.37628,Pest Control Service
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,Minister Arch Heating Vancouver Contractor,b655e790389a40487ebe7fe5,43.650044,-79.34206,General Contractor
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,Minister Arch Pest Control Sherbrooke,38bc2cdcfce74995b28e68e8,43.650044,-79.34206,Pest Control Service
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,Icon Wildlife Removal & Pest Control,5cd1813dd9a6e6002b4d9142,43.653493,-79.38052,Home Service
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,Bed Bug Exterminator Toronto,572f83c1498e351823f03aa2,43.650991,-79.380964,Home Service
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,The Exterminators,81bbd9064400432e2a5877d8,43.668005,-79.369268,Pest Control Service
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,HMG Pest Control Toronto,5b2c0409a30619002ced54e6,43.642488,-79.374376,Pest Control Service
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,911 Bed Bugs,567cde2d498ef1c03ba6dcce,43.669321,-79.375136,Pest Control Service
Regent Park,0.7647058823529411,1,M5A,43.6542599,-79.3606359,Pest R Gone - Pest Control Toronto,5a49594614514bdd599a6fa9,43.654218,-79.380589,Pest Control Service
Richmond,0.8,1,M5H,43.6505712,-79.3845675,Bed Bug Exterminator Toronto,572f83c1498e351823f03aa2,43.650991,-79.380964,Home Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,The Exterminators Inc,fa2e54570ce8429b68752cd8,43.660266,-79.353637,Pest Control Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,The Exterminators Inc. Pest Control Toronto,5eeb3b1fd46f4e0008e79e54,43.660266,-79.353637,Pest Control Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,911 Bed Bugs,567cde2d498ef1c03ba6dcce,43.669321,-79.375136,Pest Control Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,Raccoon Control,ffee32e578b590e1447cb7ab,43.658986,-79.369004,Pest Control Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,Icon Wildlife Removal & Pest Control,5cd1813dd9a6e6002b4d9142,43.653493,-79.38052,Home Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,Bed Bug Exterminator Toronto,572f83c1498e351823f03aa2,43.650991,-79.380964,Home Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,The Bed Bug Tracker,c2b0eedcbd974c4e7b1a4990,43.649759,-79.37628,Pest Control Service
St. James Town,0.775,1,M5C,43.6514939,-79.3754179,Greenleaf Pest Control,545a9566498e607c73a235a0,43.649765,-79.376188,Pest Control Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,Sierra Club Ontario,7bba51784e014388be91fe37,43.68408,-79.365928,Agriculture and Forestry Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,AAA All Seasons Wildlife Control Inc,55980866b81b4c6c09bab28c,43.666016,-79.378913,Pest Control Service
St. James Town,0.775,1,M4X,43.667967,-79.3676753,Pest control exterminator NY,68e6f8cd52964666252a57d6,43.655799,-79.393604,Pest Control Service
